"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"224,580",+45,"5,226 ",,"218,559",+156,795,27,156,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"87,265,676","+98,869","1,035,754 ",+239,"83,014,518","+79,276","3,215,404","2,910","260,677","3,094","1,039,126,512","3,104,040","334,765,837 ",North America
India,"43,213,435","+6,170","524,757 ",+10,"42,648,308","+4,216","40,370",698,"30,728",373,"854,198,288","607,404","1,406,310,162 ",Asia
Brazil,"31,417,341","+56,491","668,007 ",+158,"30,178,187","+19,931","571,147","8,318","145,796","3,100","63,776,166","295,960","215,488,919 ",South America
France,"29,770,522","+17,152","148,749 ",+39,"29,166,768",,"455,005","1,173","454,141","2,269","271,490,188","4,141,504","65,553,520 ",Europe
Germany,"26,802,782","+74,908","140,115 ",+106,"25,850,400","+47,100","812,267",631,"317,933","1,662","122,332,384","1,451,098","84,303,322 ",Europe
UK,"22,382,352","+9,206","179,217 ",+52,"22,019,930","+6,002","183,205",188,"326,381","2,613","522,526,476","7,619,515","68,577,392 ",Europe
Russia,"18,369,557","+3,678","379,883 ",+70,"17,786,254","+4,332","203,420","2,300","125,771","2,601","273,400,000","1,871,888","146,055,767 ",Europe
S. Korea,"18,209,650","+9,304","24,341 ",+18,"17,943,349","+9,957","241,960",107,"354,586",474,"15,804,065","307,743","51,354,720 ",Asia
Italy,"17,611,961","+21,908","167,305 ",+52,"16,820,881","+23,756","623,775",196,"292,123","2,775","222,710,598","3,694,020","60,289,491 ",Europe
Turkey,"15,072,747",,"98,965 ",,"14,971,256",,"2,526",975,"175,064","1,149","162,743,369","1,890,197","86,098,640 ",Asia
Spain,"12,478,994","+14,152","107,108 ",+64,"11,939,322","+12,393","432,564",339,"266,703","2,289","471,036,328","10,067,055","46,789,884 ",Europe
Vietnam,"10,730,534",+961,"43,082 ",+1,"9,540,598","+4,600","1,146,854",62,"108,349",435,"85,819,211","866,540","99,036,655 ",Asia
Argentina,"9,276,618",,"128,973 ",,"8,895,999",,"251,646",344,"201,666","2,804","35,716,069","776,438","45,999,871 ",South America
Japan,"9,008,130","+17,201","30,844 ",+26,"8,800,307","+18,563","176,979",77,"71,649",245,"53,749,867","427,516","125,725,998 ",Asia
Netherlands,"8,101,839","+2,235","22,332 ",+2,"8,042,088","+1,392","37,419",33,"470,808","1,298","21,107,399","1,226,577","17,208,372 ",Europe
Australia,"7,571,622","+30,005","8,957 ",+38,"7,338,045","+29,921","224,620",101,"290,395",344,"72,622,924","2,785,313","26,073,526 ",Australia/Oceania
Iran,"7,233,472",+153,"141,343 ",,"7,058,349",+411,"33,780",397,"84,035","1,642","52,298,398","607,575","86,077,338 ",Asia
Colombia,"6,117,847",,"139,894 ",,"5,943,925",,"34,028",342,"117,799","2,694","35,175,528","677,307","51,934,416 ",South America
Indonesia,"6,059,363",+627,"156,638 ",+3,"5,898,384",+344,"4,341","2,771","21,708",561,"99,392,799","356,079","279,131,454 ",Asia
Poland,"6,009,726",+247,"116,369 ",+1,"5,335,546",+9,"557,811",408,"159,129","3,081","36,402,031","963,877","37,766,261 ",Europe
Mexico,"5,808,696","+6,024","325,091 ",+36,"5,081,609","+1,831","401,996","4,798","44,153","2,471","16,127,657","122,589","131,559,175 ",North America
Ukraine,"5,014,929",,"108,605 ",,N/A,N/A,N/A,177,"116,020","2,513","19,521,252","451,624","43,224,558 ",Europe
Portugal,"4,917,127",,"23,531 ",,"4,237,853","+28,431","655,743",61,"484,968","2,321","42,825,431","4,223,798","10,139,081 ",Europe
Malaysia,"4,523,018","+2,166","35,709 ",+1,"4,464,558","+1,488","22,751",24,"136,359","1,077","60,278,420","1,817,257","33,170,008 ",Asia
Thailand,"4,479,888","+2,836","30,289 ",+24,"4,425,046","+3,518","24,553","1,496","63,871",432,"17,270,775","246,235","70,139,528 ",Asia
DPRK,"4,349,920","+45,540",71 ,,"4,265,860","+55,250","83,989",,"167,318",3,,,"25,997,845 ",Asia
Austria,"4,284,320","+4,271","18,690 ",+3,"4,224,080","+2,430","41,550",35,"470,493","2,052","188,635,986","20,715,502","9,106,030 ",Europe
Israel,"4,175,652","+6,314","10,867 ",,"4,136,558","+2,382","28,227",150,"447,743","1,165","41,373,364","4,436,346","9,326,000 ",Asia
Belgium,"4,170,252",,"31,816 ",,"4,079,750","+9,467","58,686",66,"356,816","2,722","34,197,937","2,926,049","11,687,411 ",Europe
South Africa,"3,976,653","+1,591","101,468 ",+20,"3,851,856","+2,139","23,329",192,"65,450","1,670","25,447,671","418,833","60,758,494 ",Africa
Czechia,"3,922,554",+285,"40,300 ",,"3,881,021",+377,"1,233",6,"364,974","3,750","55,453,753","5,159,690","10,747,496 ",Europe
Canada,"3,895,966","+2,283","41,505 ",+24,"3,544,264","+1,004","310,197",252,"101,500","1,081","62,220,040","1,620,999","38,383,753 ",North America
Chile,"3,796,909","+12,964","58,054 ",+18,"3,528,486","+3,264","210,369",151,"195,371","2,987","39,220,648","2,018,109","19,434,351 ",South America
Philippines,"3,692,617",+287,"60,461 ",+5,"3,629,459",+108,"2,697",468,"32,850",538,"30,387,628","270,331","112,408,859 ",Asia
Switzerland,"3,667,742",,"13,967 ",,"3,618,730","+2,494","35,045",44,"417,865","1,591","21,153,745","2,410,042","8,777,335 ",Europe
Peru,"3,588,697",+791,"213,308 ",+12,"3,366,755","+1,680","8,634",147,"105,979","6,299","30,949,572","913,982","33,862,357 ",South America
Greece,"3,492,268","+4,493","29,997 ",+21,"3,415,562","+2,565","46,709",110,"338,255","2,905","83,459,301","8,083,711","10,324,380 ",Europe
Denmark,"2,990,478",+772,"6,404 ",+9,"2,976,455",+275,"7,619",9,"512,793","1,098","127,515,122","21,865,681","5,831,747 ",Europe
Romania,"2,912,266",+389,"65,710 ",+3,"2,841,887",+377,"4,669",53,"153,366","3,460","23,310,646","1,227,588","18,988,987 ",Europe
Taiwan,"2,762,033","+68,300","3,797 ",+213,"1,237,300","+84,415","1,520,936",,"115,565",159,"19,353,345","809,752","23,900,344 ",Asia
Sweden,"2,510,930",,"19,016 ",,"2,485,451",,"6,463",6,"245,655","1,860","18,622,701","1,821,940","10,221,358 ",Europe
Iraq,"2,329,525",+212,"25,221 ",,"2,302,974",+119,"1,330",9,"55,502",601,"18,636,288","444,015","41,972,197 ",Asia
Serbia,"2,019,978",+272,"16,098 ",+2,"1,998,990",,"4,890",10,"233,007","1,857","9,778,284","1,127,939","8,669,158 ",Europe
Bangladesh,"1,953,935",+64,"29,131 ",,"1,905,065",+145,"19,739","1,328","11,640",174,"14,172,969","84,428","167,870,588 ",Asia
Hungary,"1,921,486",,"46,571 ",,"1,853,094",,"21,821",8,"199,888","4,845","11,394,556","1,185,352","9,612,805 ",Europe
Slovakia,"1,790,959",+168,"20,112 ",+3,"1,769,092",+162,"1,755",17,"327,728","3,680","7,157,278","1,309,713","5,464,768 ",Europe
Jordan,"1,697,271",,"14,068 ",,"1,682,962",,241,124,"163,207","1,353","16,834,239","1,618,751","10,399,523 ",Asia
Georgia,"1,657,729",,"16,826 ",,"1,637,293",,"3,610",,"417,110","4,234","16,920,079","4,257,348","3,974,324 ",Asia
Ireland,"1,570,519",,"7,383 ",,"1,545,500",+881,"17,636",22,"311,319","1,464","12,282,059","2,434,633","5,044,727 ",Europe
Pakistan,"1,531,037",+72,"30,381 ",+2,"1,496,123",,"4,533",50,"6,680",133,"28,711,112","125,263","229,207,463 ",Asia
Norway,"1,436,598",+480,"3,210 ",,"1,429,125",+344,"4,263",20,"261,037",583,"11,002,430","1,999,195","5,503,430 ",Europe
Singapore,"1,335,625","+2,969","1,396 ",,"1,253,833","+4,324","80,396",4,"224,870",235,"23,877,882","4,020,150","5,939,550 ",Asia
Kazakhstan,"1,305,837",+9,"13,662 ",,"1,292,089",+10,86,24,"67,969",711,"11,575,012","602,483","19,212,165 ",Asia
New Zealand,"1,228,187","+6,463","1,247 ",+7,"1,183,922","+6,323","43,018",,"245,534",249,"71,423,774","14,278,758","5,002,100 ",Australia/Oceania
Hong Kong,"1,217,510",+668,"9,390 ",,"1,196,327",+321,"11,793",5,"159,885","1,233","49,428,776","6,491,054","7,614,907 ",Asia
Morocco,"1,174,028","+1,090","16,082 ",,"1,153,124",+410,"4,822",293,"31,093",426,"11,724,314","310,505","37,758,798 ",Africa
Bulgaria,"1,166,777",+188,"37,196 ",+2,"1,061,007","+1,356","68,574",28,"170,405","5,432","10,043,671","1,466,854","6,847,081 ",Europe
Croatia,"1,139,319",+285,"16,014 ",+2,"1,121,180",+226,"2,125",6,"280,883","3,948","4,901,202","1,208,323","4,056,203 ",Europe
Finland,"1,114,573",,"4,714 ",,N/A,N/A,N/A,21,"200,556",848,"10,977,262","1,975,249","5,557,406 ",Europe
Cuba,"1,105,577",+31,"8,529 ",,"1,096,885",+20,163,23,"97,724",754,"13,852,049","1,224,413","11,313,215 ",North America
