"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,257362.0,207.0,5226.0,,248262.0,319.0,3874.0,13.0,178.0,4.0,160000000.0,110461.0,1448471400.0,Asia
USA,99109396.0,12335.0,1093069.0,31.0,96546739.0,47933.0,1469588.0,2658.0,296021.0,3265.0,1126663543.0,3365131.0,334805269.0,North America
India,44644076.0,1334.0,528977.0,16.0,44091906.0,1557.0,23193.0,698.0,31738.0,376.0,899627428.0,639561.0,1406631776.0,Asia
France,36599821.0,31470.0,156387.0,17.0,35327613.0,8690.0,1115821.0,869.0,558056.0,2385.0,271490188.0,4139547.0,65584518.0,Europe
Germany,35172693.0,,152482.0,,33297700.0,18400.0,1722511.0,1406.0,419304.0,1818.0,122332384.0,1458359.0,83883596.0,Europe
Brazil,34830752.0,1836.0,687680.0,15.0,33998942.0,,144130.0,8318.0,161738.0,3193.0,63776166.0,296146.0,215353593.0,South America
S. Korea,25297334.0,26256.0,28990.0,16.0,24853920.0,34688.0,414424.0,212.0,492838.0,565.0,15804065.0,307892.0,51329899.0,Asia
UK,23855522.0,,192682.0,,23460571.0,7021.0,202269.0,146.0,348266.0,2813.0,522526476.0,7628357.0,68497907.0,Europe
Italy,23348075.0,25553.0,178594.0,52.0,22649684.0,29400.0,519797.0,229.0,387438.0,2964.0,251518926.0,4173703.0,60262770.0,Europe
Japan,21991277.0,30873.0,46274.0,44.0,20471217.0,2546.0,1473786.0,115.0,175111.0,368.0,76840003.0,611857.0,125584838.0,Asia
Russia,21372935.0,8672.0,389537.0,88.0,20719106.0,10578.0,264292.0,2300.0,146585.0,2672.0,273400000.0,1875095.0,145805947.0,Europe
Spain,13488015.0,,114858.0,,13276258.0,,96899.0,339.0,288704.0,2458.0,471036328.0,10082298.0,46719142.0,Europe
Vietnam,11496987.0,158.0,43159.0,,10600965.0,108.0,852863.0,31.0,116186.0,436.0,85826548.0,867342.0,98953541.0,Asia
Australia,10342827.0,949.0,15569.0,,10216900.0,,110358.0,38.0,396751.0,597.0,78835048.0,3024116.0,26068792.0,Australia/Oceania
Argentina,9717546.0,2082.0,129979.0,9.0,9580545.0,419.0,7022.0,259.0,211204.0,2825.0,35716069.0,776264.0,46010234.0,South America
Netherlands,8494705.0,,22770.0,,8390762.0,1756.0,81173.0,50.0,493550.0,1323.0,21107399.0,1226358.0,17211447.0,Europe
Iran,7556097.0,194.0,144544.0,1.0,7330457.0,179.0,81096.0,137.0,87838.0,1680.0,54095556.0,628851.0,86022837.0,Asia
Taiwan,7450121.0,35328.0,12323.0,65.0,6568810.0,33330.0,868988.0,,311869.0,516.0,27371792.0,1145810.0,23888595.0,Asia
Mexico,7106865.0,847.0,330331.0,11.0,6379828.0,1039.0,396706.0,4798.0,54019.0,2511.0,18523417.0,140795.0,131562772.0,North America
Indonesia,6470961.0,1685.0,158429.0,13.0,6293147.0,1206.0,19385.0,2771.0,23182.0,568.0,110024314.0,394162.0,279134505.0,Asia
Poland,6334887.0,181.0,118029.0,,5335940.0,,880918.0,3650.0,167857.0,3127.0,37581604.0,995809.0,37739785.0,Europe
Colombia,6309168.0,,141827.0,,6137351.0,,29990.0,342.0,122478.0,2753.0,36687973.0,712211.0,51512762.0,South America
Portugal,5509424.0,,25125.0,,5452402.0,2840.0,31897.0,61.0,543305.0,2478.0,45059939.0,4443531.0,10140570.0,Europe
Austria,5398605.0,5494.0,20899.0,4.0,5281062.0,12688.0,96644.0,47.0,595432.0,2305.0,199625374.0,22017399.0,9066710.0,Europe
Ukraine,5279346.0,,109819.0,,5097970.0,,71557.0,,122229.0,2543.0,32495903.0,752357.0,43192122.0,Europe
Greece,5081981.0,,33426.0,,5000994.0,7926.0,47561.0,115.0,492601.0,3240.0,96230669.0,9327717.0,10316637.0,Europe
Malaysia,4882059.0,2054.0,36444.0,,4818237.0,1975.0,27378.0,43.0,147134.0,1098.0,65164447.0,1963904.0,33181072.0,Asia
Chile,4715098.0,6228.0,61549.0,14.0,4638198.0,7620.0,15351.0,104.0,244938.0,3197.0,45890908.0,2383919.0,19250195.0,South America
Thailand,4689897.0,,32922.0,,4649509.0,,7466.0,1496.0,66924.0,470.0,17270775.0,246450.0,70078203.0,Asia
Israel,4677930.0,868.0,11751.0,7.0,4659855.0,1048.0,6324.0,90.0,501601.0,1260.0,41373364.0,4436346.0,9326000.0,Asia
Belgium,4602438.0,,32846.0,,4493085.0,2907.0,76507.0,85.0,394440.0,2815.0,35863342.0,3073576.0,11668278.0,Europe
Canada,4314718.0,,46025.0,,4190035.0,2256.0,78658.0,99.0,112396.0,1199.0,65558668.0,1707772.0,38388419.0,North America
Switzerland,4181255.0,,14211.0,,4059550.0,2557.0,107494.0,64.0,476570.0,1620.0,22569375.0,2572408.0,8773637.0,Europe
Peru,4152499.0,215.0,216877.0,,3931814.0,104.0,3808.0,84.0,123277.0,6439.0,35610210.0,1057178.0,33684208.0,South America
Czechia,4151036.0,266.0,41494.0,3.0,4097371.0,2121.0,12171.0,43.0,386618.0,3865.0,56431376.0,5255892.0,10736784.0,Europe
South Africa,4025587.0,212.0,102257.0,,3912506.0,,10824.0,192.0,66258.0,1683.0,26174429.0,430811.0,60756135.0,Africa
Philippines,3994633.0,1584.0,63779.0,37.0,3907486.0,1793.0,23368.0,687.0,35505.0,567.0,33187022.0,294972.0,112508994.0,Asia
Romania,3283353.0,206.0,67163.0,2.0,3208115.0,669.0,8075.0,93.0,172524.0,3529.0,25380132.0,1333597.0,19031335.0,Europe
Denmark,3131149.0,,7247.0,,3111067.0,,12835.0,17.0,536620.0,1242.0,128574209.0,22035186.0,5834950.0,Europe
Sweden,2608289.0,,20531.0,,2563626.0,780.0,24132.0,19.0,255240.0,2009.0,19031688.0,1862388.0,10218971.0,Europe
Iraq,2460868.0,,25356.0,,2435048.0,,464.0,21.0,58363.0,601.0,19350944.0,458934.0,42164965.0,Asia
Serbia,2396512.0,625.0,17186.0,10.0,2354298.0,2224.0,25028.0,31.0,276957.0,1986.0,11290474.0,1304802.0,8653016.0,Europe
Hungary,2132490.0,,47798.0,,2049649.0,,35043.0,18.0,221990.0,4976.0,11394556.0,1186160.0,9606259.0,Europe
Singapore,2064163.0,4454.0,1662.0,2.0,1971947.0,7893.0,90554.0,9.0,347295.0,280.0,24548641.0,4130302.0,5943546.0,Asia
Bangladesh,2034141.0,139.0,29413.0,1.0,1977916.0,444.0,26812.0,1331.0,12116.0,175.0,14971448.0,89176.0,167885689.0,Asia
Hong Kong,1875601.0,5535.0,10326.0,4.0,1689851.0,8271.0,175424.0,10.0,246650.0,1358.0,66284763.0,8716749.0,7604299.0,Asia
Slovakia,1851283.0,123.0,20557.0,6.0,1826695.0,232.0,4031.0,45.0,339051.0,3765.0,7325715.0,1341659.0,5460193.0,Europe
New Zealand,1828894.0,2334.0,3080.0,5.0,1810750.0,2035.0,15064.0,,373381.0,629.0,7544063.0,1540170.0,4898203.0,Australia/Oceania
Georgia,1780691.0,,16900.0,,1637293.0,,126498.0,,448679.0,4258.0,16920079.0,4263340.0,3968738.0,Asia
Jordan,1746997.0,,14122.0,,1731007.0,,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia
Ireland,1670377.0,,7972.0,,1654915.0,409.0,7490.0,16.0,332731.0,1588.0,12761233.0,2541978.0,5020199.0,Europe
Pakistan,1573690.0,49.0,30624.0,,1538689.0,,4377.0,39.0,6857.0,133.0,30570862.0,133213.0,229488994.0,Asia
Norway,1463998.0,40.0,4187.0,,1458721.0,91.0,1090.0,20.0,265632.0,760.0,11002430.0,1996315.0,5511370.0,Europe
Kazakhstan,1394479.0,,13692.0,,1379795.0,,992.0,24.0,72610.0,713.0,11575012.0,602707.0,19205043.0,Asia
Finland,1335318.0,,6407.0,,1294536.0,1624.0,34375.0,21.0,240383.0,1153.0,11581841.0,2084955.0,5554960.0,Europe
Bulgaria,1274336.0,167.0,37821.0,,1226248.0,13.0,10267.0,58.0,186181.0,5526.0,10668735.0,1558709.0,6844597.0,Europe
Morocco,1265389.0,7.0,16280.0,,1248923.0,32.0,186.0,293.0,33500.0,431.0,12645908.0,334789.0,37772756.0,Africa
Lithuania,1265132.0,50.0,9381.0,2.0,1242228.0,77.0,13523.0,8.0,475308.0,3524.0,10212411.0,3836789.0,2661708.0,Europe
Croatia,1244642.0,277.0,17076.0,6.0,1224302.0,596.0,3264.0,25.0,306616.0,4207.0,5315060.0,1309358.0,4059286.0,Europe
Slovenia,1225688.0,437.0,6872.0,2.0,1195805.0,814.0,23011.0,20.0,589831.0,3307.0,2760982.0,1328651.0,2078034.0,Europe
Lebanon,1218082.0,,10699.0,,1087587.0,,119796.0,74.0,182215.0,1600.0,4795578.0,717380.0,6684849.0,Asia
