"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
China,111520.0,325.0,4636.0,,102832.0,110.0,4052.0,9.0,77.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-03-08
USA,81024903.0,33615.0,988208.0,1299.0,55221462.0,202659.0,24815233.0,5421.0,242395.0,2956.0,960233929.0,2872645.0,334268263.0,North America,2022-03-08
India,42975883.0,4575.0,515386.0,145.0,42413566.0,7416.0,46931.0,8944.0,30635.0,367.0,774310567.0,551964.0,1402828373.0,Asia,2022-03-08
Brazil,29144964.0,75495.0,652936.0,518.0,27344949.0,165757.0,1147079.0,8318.0,135494.0,3035.0,63776166.0,296493.0,215101451.0,South America,2022-03-08
France,23164872.0,93050.0,139618.0,167.0,21836839.0,98559.0,1188415.0,2484.0,353573.0,2131.0,246629975.0,3764393.0,65516532.0,Europe,2022-03-08
UK,19306725.0,61803.0,162359.0,212.0,18086708.0,63719.0,1057658.0,268.0,281908.0,2371.0,487512832.0,7118431.0,68485991.0,Europe,2022-03-08
Russia,17081394.0,66576.0,357601.0,652.0,14802351.0,111756.0,1921442.0,2300.0,116964.0,2449.0,273400000.0,1872093.0,146039751.0,Europe,2022-03-08
Germany,16144363.0,193013.0,125299.0,583.0,12525000.0,237100.0,3494064.0,2494.0,191659.0,1487.0,104701826.0,1242977.0,84234696.0,Europe,2022-03-08
Turkey,14425638.0,37407.0,95811.0,130.0,13882425.0,69294.0,447402.0,975.0,168002.0,1116.0,146830957.0,1710007.0,85865689.0,Asia,2022-03-08
Italy,13110859.0,61523.0,156201.0,184.0,11941805.0,57408.0,1012853.0,592.0,217383.0,2590.0,190499871.0,3158561.0,60312234.0,Europe,2022-03-08
Spain,11159574.0,23149.0,100859.0,285.0,10174079.0,74937.0,884636.0,773.0,238528.0,2156.0,471036328.0,10068052.0,46785249.0,Europe,2022-03-08
Argentina,8949362.0,6474.0,126901.0,59.0,8749376.0,4634.0,73085.0,961.0,195003.0,2765.0,34590190.0,753706.0,45893460.0,South America,2022-03-08
Iran,7102159.0,5841.0,138260.0,144.0,6747070.0,7259.0,216829.0,3428.0,82775.0,1611.0,47884518.0,558087.0,85801235.0,Asia,2022-03-08
Netherlands,6837874.0,66231.0,21624.0,12.0,5052333.0,103980.0,1763917.0,163.0,397582.0,1257.0,21107399.0,1227270.0,17198663.0,Europe,2022-03-08
Colombia,6073416.0,760.0,139154.0,34.0,5903279.0,1548.0,30983.0,342.0,117258.0,2687.0,33400734.0,644861.0,51795208.0,South America,2022-03-08
Indonesia,5800253.0,30148.0,150831.0,401.0,5226530.0,55128.0,422892.0,2771.0,20835.0,542.0,87959504.0,315959.0,278389064.0,Asia,2022-03-08
Poland,5760523.0,13177.0,112768.0,217.0,5142672.0,9990.0,505083.0,605.0,152488.0,2985.0,34203025.0,905396.0,37776866.0,Europe,2022-03-08
Mexico,5566669.0,1684.0,319901.0,42.0,4853879.0,5807.0,392889.0,4798.0,42425.0,2438.0,15238167.0,116134.0,131211484.0,North America,2022-03-08
Japan,5434108.0,40575.0,25049.0,114.0,4784648.0,72481.0,624411.0,1348.0,43188.0,199.0,40106416.0,318748.0,125824999.0,Asia,2022-03-08
Ukraine,4879339.0,4332.0,106739.0,60.0,,,,177.0,112708.0,2466.0,19521252.0,450924.0,43291683.0,Europe,2022-03-08
Vietnam,4877440.0,165856.0,40977.0,86.0,2789342.0,70902.0,2047121.0,4258.0,49361.0,415.0,80574910.0,815437.0,98811950.0,Asia,2022-03-08
S. Korea,4869691.0,202714.0,9282.0,186.0,969524.0,,3890885.0,1007.0,94845.0,181.0,15804065.0,307811.0,51343425.0,Asia,2022-03-08
South Africa,3686556.0,1436.0,99625.0,16.0,3569441.0,4950.0,17490.0,546.0,60868.0,1645.0,23285855.0,384468.0,60566459.0,Africa,2022-03-08
Israel,3684810.0,4171.0,10322.0,5.0,3625478.0,16468.0,49010.0,419.0,395112.0,1107.0,41373364.0,4436346.0,9326000.0,Asia,2022-03-08
Malaysia,3680953.0,31490.0,33384.0,79.0,3340889.0,29035.0,306680.0,373.0,111330.0,1010.0,51052539.0,1544075.0,33063507.0,Asia,2022-03-08
Philippines,3668703.0,435.0,57072.0,6.0,3563771.0,1006.0,47860.0,289.0,32746.0,509.0,28403191.0,253522.0,112034234.0,Asia,2022-03-08
Czechia,3642557.0,10385.0,39015.0,30.0,3532491.0,8948.0,71051.0,153.0,339082.0,3632.0,52901093.0,4924509.0,10742409.0,Europe,2022-03-08
Belgium,3601627.0,3690.0,30296.0,11.0,3265753.0,28356.0,305578.0,208.0,308504.0,2595.0,31946419.0,2736430.0,11674486.0,Europe,2022-03-08
Peru,3528939.0,901.0,211252.0,97.0,,,,751.0,104579.0,6260.0,27669558.0,819976.0,33744364.0,South America,2022-03-08
Australia,3429179.0,43197.0,5464.0,16.0,3191928.0,34511.0,231787.0,114.0,131904.0,210.0,64126960.0,2466653.0,25997564.0,Australia/Oceania,2022-03-08
Portugal,3352874.0,15068.0,21248.0,32.0,2856458.0,12649.0,475168.0,78.0,330440.0,2094.0,37805639.0,3725911.0,10146684.0,Europe,2022-03-08
Canada,3335627.0,3807.0,37093.0,54.0,3187861.0,4279.0,110673.0,552.0,87095.0,969.0,58539142.0,1528483.0,38298856.0,North America,2022-03-08
Chile,3214326.0,11764.0,43260.0,34.0,2331383.0,36955.0,839683.0,1060.0,165753.0,2231.0,33641257.0,1734778.0,19392255.0,South America,2022-03-08
Thailand,3066800.0,18943.0,23372.0,69.0,2819103.0,25005.0,224325.0,687.0,43752.0,333.0,17270775.0,246392.0,70094671.0,Asia,2022-03-08
Switzerland,2977465.0,33196.0,13341.0,6.0,2401994.0,17655.0,562130.0,141.0,339850.0,1523.0,19052041.0,2174617.0,8761103.0,Europe,2022-03-08
